# NOTE: flag=empty is necessary but not sufficient — apply the clock/volume/price test when reading. The excess_diff subtraction AMPLIFIES drift-trackers (regime/time/tempo/level), it does not clean them.
rank,feature_code,plain_name,flag,best_bin,n,TP_L,TP_S,whip_pct,raw_diff,excess_diff,shared,ci_lo,ci_hi,eff_blocks
242,E23.09,Day-rank of buyer effort,,Q2,2510,40.3,36.2,23.5,4.1,1.34,0.35,,,32
243,E43.01,POC share of curr_vol,,Q1,2658,40.8,35.7,23.6,5.1,2.36,0.35,,,32
244,B-P2.06,Absolute bear V*(1-s) over the selection,,Q1,2331,41.8,34.6,23.6,7.2,4.45,0.35,,,30
245,E36.05,s slope over last 5 buckets,,Q4,2499,38.5,37.9,23.6,0.6,-2.12,0.33,,,32
246,E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),,Q2,2383,41.0,35.5,23.6,5.5,2.74,0.31,,,32
247,C.03,Linear-fit slope + R-squared (trendiness),,Q3,2556,39.6,36.8,23.6,2.8,0.02,0.31,,,32
248,E14.01,Sign and magnitude,,-1,4874,38.2,38.2,23.6,-0.1,-2.84,0.3,,,32
249,B-P1.11,Entry-bucket raw (un-smoothed) hover value,,Q2,2850,37.9,38.5,23.6,-0.7,-3.43,0.28,,,32
250,E38.01,Absolute eff-agg + side,,Q1,4767,39.3,37.0,23.6,2.3,-0.47,0.28,,,32
251,B-P3.04,Dominant side label,,seller,4777,37.1,39.2,23.6,-2.1,-4.85,0.26,,,32
252,B-P3.08,Both-hot bucket count,,1,625,41.9,34.4,23.7,7.5,4.76,0.22,,,20
253,C.02,Net % change over the 15,,Q3,2473,41.1,35.2,23.7,5.9,3.1,0.2,,,32
254,C.01,Direction over the 15: net UP or DOWN,,1,5025,41.4,34.9,23.7,6.4,3.67,0.18,,,32
255,E47.10,Acceleration vs prior bucket,,Q1,8443,39.2,36.9,23.9,2.3,-0.5,0.04,,,32
