# FROZEN weights — exam v2 STEP 1A. The exam uses these tables VERBATIM; no re-tuning.
# raw_strength = Sum_bins (n_bin/n_total)*|TP%_bin - baseline|; bins n<100 -> 0; sz on sz-present rows; duplicate-value columns deduped (11 aliases folded). Discovery slice; HOLDOUT SEALED.
variant,direction,rank,feature_code,plain_name,flag,weight,cumulative_weight,effect_pp,n,deduped_aliases
W-STAT,long,49,E54.05,Tier-dwell streak,,0.0062,0.4872,1.7,6855,
W-STAT,long,50,B-P2.08,Trajectory slope across the selection,,0.0062,0.4935,-0.7,6869,
W-STAT,long,51,E12.06,Day-rank of buy volume,,0.0062,0.4996,6.9,6866,
W-STAT,long,52,E08.01,Upper wick size / lower wick size (ticks),,0.0061,0.5057,8.3,6834,
W-STAT,long,53,E18.02,z / percentile,,0.0060,0.5117,3.6,6855,
W-STAT,long,54,B-S.14,Selection range + net price change %,,0.0060,0.5177,5.6,6869,
W-STAT,long,55,B-S.06,Net dOI,,0.0060,0.5237,7.0,6869,
W-STAT,long,56,C.03,Linear-fit slope + R-squared (trendiness),,0.0060,0.5296,4.2,6869,
W-STAT,long,57,E45.02,Dispersion percentile vs window,,0.0059,0.5356,5.6,6645,
W-STAT,long,58,E05.02,Range percentile vs trailing 30/240,,0.0059,0.5415,6.4,6645,
W-STAT,long,59,B-P1.05,Absolute bull V*s over the selection,,0.0059,0.5475,4.0,6869,
W-STAT,long,60,C.10,Cumulative dOI over the 15,,0.0058,0.5533,7.0,6869,
W-STAT,long,61,B-P3.06,Aggregate seller multiple vs baseline,,0.0057,0.5590,-4.4,6869,B-S.12
W-STAT,long,62,B-P2.07,Sum: eff-agg share of selection volume,,0.0056,0.5646,-5.8,6869,
W-STAT,long,63,B-P2.02,Bear eff-agg percentage (badge),,0.0054,0.5700,-7.7,6869,
W-STAT,long,64,B-P2.01,Bull eff-agg percentage (badge),,0.0053,0.5753,7.7,6869,
W-STAT,long,65,E37.02,Percentile / z vs window,,0.0052,0.5806,-3.7,6855,
W-STAT,long,66,E08.08,Wick percentile vs trailing window,,0.0051,0.5857,5.1,6610,
W-STAT,long,67,B-P4.09,Peak gated score + its bucket position,,0.0051,0.5908,-3.1,6869,
W-STAT,long,68,C.02,Net % change over the 15,,0.0051,0.5959,4.9,6869,
W-STAT,long,69,C.08,Dominant 12-state verdict over the 15,,0.0050,0.6009,19.4,6869,
W-STAT,long,70,B-P1.10,Validated-dot (s>=0.60) count in selection,,0.0050,0.6059,-1.5,6869,
W-STAT,long,71,K.05,"Entry close position inside the channel, 0..1",,0.0049,0.6108,3.8,6865,
W-STAT,long,72,B-P3.07,Hot-bucket count (>=1.5x) in selection,,0.0049,0.6156,1.0,6869,
W-STAT,long,73,B-P2.04,Dominant side label,,0.0047,0.6204,3.8,6869,
W-STAT,long,74,E54.03,z / percentile vs trailing 240,,0.0047,0.6251,-4.6,6855,
W-STAT,long,75,E28.01,Raw multiple,,0.0047,0.6299,-5.0,6869,
W-STAT,long,76,C.11,Compression share (buckets under 0.6 ATR),,0.0046,0.6344,3.7,6869,
W-STAT,long,77,E54.01,Current value,,0.0045,0.6389,4.7,6869,
W-STAT,long,78,E43.01,POC share of curr_vol,,0.0045,0.6434,-4.9,6869,
W-STAT,long,79,K.07,Distance to nearest band (ticks and ATRs),,0.0044,0.6478,-5.7,6865,
W-STAT,long,80,B-P4.01,Current exhaustion value (badge),,0.0044,0.6523,-6.8,6869,B-P4.03
W-STAT,long,81,E03.07,Fast/slow STREAK length (consecutive buckets same class),,0.0044,0.6567,3.6,6855,
W-STAT,long,82,B-P2.05,Absolute bull V*(1-s) over the selection,,0.0044,0.6610,4.8,6869,
W-STAT,long,83,E28.05,Percentile / z vs window,,0.0044,0.6654,2.8,6855,
W-STAT,long,84,B-P4.05,Spread between the two sides,,0.0043,0.6697,-6.4,6869,
W-STAT,long,85,E21.10,Day-rank of |dOI|,,0.0043,0.6740,3.6,6866,
W-STAT,long,86,B-P3.02,Seller-side percentage (badge),,0.0043,0.6783,-5.2,6869,
W-STAT,long,87,B-P3.04,Dominant side label,,0.0042,0.6825,3.4,6869,
W-STAT,long,88,B-P3.01,Buyer-side percentage (badge),,0.0042,0.6868,5.1,6869,
W-STAT,long,89,E13.06,Day-rank of sell volume,,0.0042,0.6910,3.9,6866,
W-STAT,long,90,E28.09,Day-rank of speed,,0.0042,0.6951,-4.0,6866,
W-STAT,long,91,E45.06,Fat/thin streak,,0.0041,0.6993,3.8,6855,
W-STAT,long,92,E25.02,Percentile / z vs window,,0.0041,0.7033,1.3,6855,
W-STAT,long,93,E17.08,opS acceleration,,0.0040,0.7073,2.0,6869,
W-STAT,long,94,E24.02,z vs trailing-30,,0.0039,0.7113,-1.1,6855,
W-STAT,long,95,E05.07,Expanding/contracting range STREAK,,0.0039,0.7152,3.7,6855,
W-STAT,long,96,E20.08,Churn acceleration,,0.0038,0.7190,-1.0,6869,
W-STAT,long,97,E03.03,Duration z-score vs trailing window,,0.0038,0.7228,5.1,6855,
W-STAT,long,98,E37.06,Absorption acceleration,,0.0037,0.7265,0.4,6869,
W-STAT,long,99,E25.06,Narrow/wide streak,,0.0036,0.7301,3.1,6855,
W-STAT,long,100,E23.02,z vs trailing-30 (the baseline convention),,0.0036,0.7338,-0.2,6855,
W-STAT,long,101,E28.07,Speed acceleration vs prior,,0.0036,0.7374,-1.7,6869,
W-STAT,long,102,E19.01,clS / vol fraction,,0.0036,0.7409,-1.1,6869,
W-STAT,long,103,B-P2.06,Absolute bear V*(1-s) over the selection,,0.0036,0.7445,-2.7,6869,
W-STAT,long,104,C.09,Cumulative delta over the 15,,0.0035,0.7480,3.9,6869,
W-STAT,long,105,E43.10,Day-rank of POC share,,0.0034,0.7514,-5.2,6866,
W-STAT,long,106,E12.03,Buy-dominance streak (share > 0.5),,0.0034,0.7549,4.6,6855,
W-STAT,long,107,E13.01,Sell share: sell_vol / curr_vol,,0.0034,0.7583,3.0,6869,
W-STAT,long,108,E13.08,Log sell volume,,0.0034,0.7617,3.0,6869,
W-STAT,long,109,C.01,Direction over the 15: net UP or DOWN,,0.0034,0.7652,10.0,6869,
W-STAT,long,110,E24.09,Day-rank,,0.0034,0.7685,-1.0,6866,
W-STAT,long,111,E06.02,Log return of the body,,0.0033,0.7719,2.2,6869,
W-STAT,long,112,B-P2.10,Dominance-flip count across the selection,,0.0033,0.7752,-4.4,6869,
W-STAT,long,113,E21.01,Sign: BUILD vs DRAIN,,0.0033,0.7785,3.3,6869,
W-STAT,long,114,E18.04,clL streak (sustained unwind),,0.0033,0.7818,-3.0,6855,
W-STAT,long,115,E06.01,Sign (direction) and magnitude,,0.0032,0.7850,3.2,6869,E06.10
W-STAT,long,116,E37.05,Absorption streak per side,,0.0032,0.7882,0.2,6855,
W-STAT,long,117,E20.03,z / percentile,,0.0031,0.7914,-0.2,6855,
W-STAT,long,118,E28.06,Speed streak (consecutive > 1x),,0.0031,0.7945,-1.0,6855,
W-STAT,long,119,E33.01,Buyer multiplier / seller multiplier values,,0.0031,0.7975,-3.2,6869,
W-STAT,long,120,E24.04,Percentile,,0.0031,0.8006,-1.0,6645,
W-STAT,long,121,E20.04,High-churn streak,,0.0030,0.8036,2.7,6855,
W-STAT,long,122,E55.09,Percentile-window fill health,,0.0030,0.8067,-2.0,6644,
W-STAT,long,123,E38.01,Absolute eff-agg + side,,0.0030,0.8097,0.9,6869,
W-STAT,long,124,E24.06,Hot streak,,0.0030,0.8126,-3.9,6855,
W-STAT,long,125,E23.04,Percentile vs window,,0.0029,0.8156,2.7,6645,
W-STAT,long,126,E36.04,High-s streak,,0.0029,0.8185,-0.7,6855,
W-STAT,long,127,E13.03,Sell-dominance streak,,0.0029,0.8214,-2.1,6855,
W-STAT,long,128,E16.01,opL / vol fraction,,0.0028,0.8242,1.9,6869,
W-STAT,long,129,B-P3.05,Aggregate buyer multiple vs trailing baseline,,0.0028,0.8270,3.1,6869,B-S.11
W-STAT,long,130,B-P1.08,Trajectory slope across the selection,,0.0028,0.8298,-1.7,6869,
W-STAT,long,131,E14.04,Same-sign delta streak (pressure persistence),,0.0028,0.8326,3.5,6855,
W-STAT,long,132,B-P1.07,Sum: absorbed share of selection volume,,0.0028,0.8354,2.8,6869,
W-STAT,long,133,E03.02,Duration percentile vs trailing 30 and 240 buckets,,0.0028,0.8382,2.5,6645,
W-STAT,long,134,E16.06,Day-rank of opL,,0.0027,0.8409,3.9,6866,
W-STAT,long,135,E17.02,z-score / percentile,,0.0027,0.8436,3.0,6855,
W-STAT,long,136,E39.04,Consecutive-dot streak,,0.0027,0.8463,-4.0,6855,
W-STAT,long,137,E36.03,Percentile / z vs window,,0.0027,0.8490,-1.9,6855,
W-STAT,long,138,E54.04,Slope over last N buckets,,0.0026,0.8516,-2.9,6869,
W-STAT,long,139,B-S.05,Net delta + delta percentage,,0.0026,0.8542,3.6,6869,
W-STAT,long,140,E18.01,clL / vol fraction,,0.0026,0.8568,-1.4,6869,
W-STAT,long,141,E33.05,Percentile of each vs day,,0.0026,0.8594,-2.6,6645,
W-STAT,long,142,E45.05,z-score of dispersion,,0.0026,0.8620,3.8,6855,
W-STAT,long,143,E17.01,opS / vol fraction,,0.0025,0.8645,2.3,6869,
W-STAT,long,144,E06.04,Same-direction streak length,,0.0025,0.8670,5.2,6855,
W-STAT,long,145,E17.06,Day-rank of opS,,0.0025,0.8695,2.1,6866,
W-STAT,long,146,E23.01,Raw value / log value,,0.0025,0.8719,-0.7,6869,
W-STAT,long,147,G06.1,Net OI change + open:close ratio,,0.0024,0.8744,2.7,6869,
W-STAT,long,148,C.07,Higher-highs / lower-lows counts,,0.0024,0.8768,1.2,6869,
W-STAT,long,149,B-P3.10,Entry-bucket raw value,,0.0024,0.8792,1.4,6869,
W-STAT,long,150,E05.03,Range z-score,,0.0024,0.8816,3.6,6855,
W-STAT,long,151,E14.09,Day-rank of abs(delta),,0.0024,0.8840,2.4,6866,
W-STAT,long,152,E12.02,Buy z-score / percentile vs trailing window,,0.0024,0.8864,1.2,6855,
W-STAT,long,153,E16.04,opL streak (persistent long initiative),,0.0024,0.8887,4.0,6855,
W-STAT,long,154,E15.04,Percentile / z vs window,,0.0023,0.8911,-1.2,6855,
W-STAT,long,155,G04.1,Price moved per net contract (efficiency of aggression),,0.0023,0.8934,-0.2,6869,
W-STAT,long,156,E17.04,opS streak,,0.0023,0.8956,4.2,6855,
W-STAT,long,157,E06.03,Body percentile / z-score vs window,,0.0023,0.8979,1.1,6855,
W-STAT,long,158,E10.04,Percentile vs trailing window,,0.0023,0.9002,-1.9,6610,
W-STAT,long,159,E24.01,Raw value / log value,,0.0023,0.9024,-2.3,6869,
W-STAT,long,160,B-P3.09,Peak-E/R bucket position,,0.0023,0.9047,-0.1,6869,
W-STAT,long,161,E23.09,Day-rank of buyer effort,,0.0022,0.9069,2.0,6866,
W-STAT,long,162,E43.02,Percentile / z of the share,,0.0022,0.9092,0.0,6855,
W-STAT,long,163,E37.03,Day-rank of absorbed volume,,0.0022,0.9114,-0.3,6866,
W-STAT,long,164,E36.05,s slope over last 5 buckets,,0.0022,0.9136,-1.2,6869,
W-STAT,long,165,E10.01,Raw 0..1 position,,0.0022,0.9158,-1.2,6834,G10.1
W-STAT,long,166,E56.01,ATR value,,0.0022,0.9179,3.0,6855,
W-STAT,long,167,E56.05,ATR slope (vol regime drift),,0.0021,0.9201,-0.4,6851,
W-STAT,long,168,C.12,Sweep-event count in the 15,,0.0021,0.9222,3.4,6869,
W-STAT,long,169,G03.1,delta and delta fraction (the canonical pair),,0.0021,0.9243,1.9,6869,
W-STAT,long,170,E24.08,Effort acceleration,,0.0021,0.9264,0.2,6869,
W-STAT,long,171,E33.06,Slope over the selection window,,0.0021,0.9285,-1.1,6869,
W-STAT,long,172,E57.01,Swept prior HIGH (Y/N) / swept prior LOW (Y/N),,0.0021,0.9306,2.3,6834,
W-STAT,long,173,E14.01,Sign and magnitude,,0.0021,0.9326,1.6,6869,
W-STAT,long,174,B-P3.03,Spread: buyer% - seller%,,0.0021,0.9347,-2.0,6869,
W-STAT,long,175,E16.02,z-score / percentile vs window,,0.0020,0.9367,2.3,6855,
W-STAT,long,176,B-P1.09,Peak-absorption bucket position (0..15),,0.0020,0.9387,2.1,6869,
W-STAT,long,177,E56.06,ATR percentile vs day,,0.0020,0.9407,2.0,6645,
W-STAT,long,178,E07.01,Raw fraction 0..1,,0.0020,0.9427,-1.9,6834,G02.1
W-STAT,long,179,E07.05,Trend-bar streak length,,0.0020,0.9446,-3.1,6104,
W-STAT,long,180,E13.02,Sell z-score / percentile,,0.0019,0.9466,-0.4,6855,
W-STAT,long,181,E13.10,Sell-share slope over trailing 5 buckets,,0.0019,0.9485,-1.9,6869,
W-STAT,long,182,E21.04,BUILD streak / DRAIN streak lengths,,0.0019,0.9504,2.3,6855,
W-STAT,long,183,E10.07,Persistently-high/low POC streak,,0.0019,0.9522,0.4,6104,
W-STAT,long,184,B-P1.04,Dominant side label,,0.0018,0.9541,1.5,6869,
W-STAT,long,185,E18.08,Day-rank of clL,,0.0018,0.9559,-0.1,6866,
W-STAT,long,186,E43.05,Dominant-POC streak,,0.0018,0.9577,-1.8,6855,
W-STAT,long,187,E60.01,State label (categorical) + one-hot vector,,0.0018,0.9595,6.7,6869,E62.01
W-STAT,long,188,E12.10,Buy-share slope over trailing 5 buckets,,0.0018,0.9613,1.7,6869,
W-STAT,long,189,E18.07,clL acceleration,,0.0018,0.9631,-0.7,6869,
W-STAT,long,190,E14.03,Delta z-score / percentile,,0.0018,0.9649,0.9,6855,
W-STAT,long,191,B-P2.09,Peak eff-agg bucket position,,0.0018,0.9666,0.8,6869,
W-STAT,long,192,E14.06,Delta acceleration (this vs prior magnitude),,0.0017,0.9683,-1.1,6869,
W-STAT,long,193,E15.05,One-sidedness streak,,0.0017,0.9700,-1.5,6855,
W-STAT,long,194,B-P2.11,Entry-bucket raw value,,0.0016,0.9717,1.4,6869,
W-STAT,long,195,E54.02,Tier: calm / warn / toxic (adaptive percentiles),,0.0015,0.9732,1.7,6645,E55.01
W-STAT,long,196,E16.08,opL acceleration vs prior bucket,,0.0015,0.9747,0.4,6869,
W-STAT,long,197,B-P4.02,LAST EXHAUSTED SIDE (bull / bear),,0.0015,0.9762,1.2,6869,
W-STAT,long,198,B-P2.03,Spread: bull% - bear%,,0.0015,0.9776,-0.4,6869,
W-STAT,long,199,E22.01,OPEN_OI ramp value (0.10-0.50),,0.0014,0.9791,0.3,6869,
W-STAT,long,200,E15.01,Raw fraction,,0.0014,0.9805,-0.2,6869,
W-STAT,long,201,E23.08,Effort acceleration vs prior,,0.0014,0.9819,-1.3,6869,
W-STAT,long,202,E21.03,z / percentile,,0.0013,0.9832,0.4,6855,
W-STAT,long,203,E19.04,clS streak,,0.0013,0.9845,-2.1,6855,
W-STAT,long,204,E38.07,Acceleration,,0.0012,0.9857,-1.1,6869,
W-STAT,long,205,B-P3.08,Both-hot bucket count,,0.0012,0.9870,24.4,6869,
W-STAT,long,206,E23.06,Hot streak length,,0.0012,0.9882,-0.7,6855,
W-STAT,long,207,E07.04,Percentile / z vs trailing window,,0.0012,0.9894,-0.1,6104,
W-STAT,long,208,E48.10,Acceleration,,0.0012,0.9906,1.9,6869,
W-STAT,long,209,E38.02,Percentile / z,,0.0012,0.9918,-0.1,6855,
W-STAT,long,210,E19.07,clS acceleration,,0.0010,0.9928,1.0,6869,
W-STAT,long,211,E21.08,dOI acceleration,,0.0010,0.9937,-0.4,6869,
W-STAT,long,212,C.04,Path class: trend / range / V-shape,,0.0008,0.9945,0.6,6869,
W-STAT,long,213,K.12,POC-baseline slope + consecutive-side streak,,0.0008,0.9953,-3.4,6645,
W-STAT,long,214,E37.01,Absolute absorbed volume + side,,0.0008,0.9960,0.8,6869,
W-STAT,long,215,E36.01,Raw s,,0.0008,0.9968,-0.0,6869,
W-STAT,long,216,E19.08,Day-rank of clS,,0.0007,0.9975,-0.8,6866,
W-STAT,long,217,E57.05,Sweep magnitude z,,0.0007,0.9983,-0.3,6094,
W-STAT,long,218,B-P1.11,Entry-bucket raw (un-smoothed) hover value,,0.0007,0.9990,-0.7,6869,
W-STAT,long,219,E38.06,Eff-agg streak per side,,0.0007,0.9997,0.4,6855,
W-STAT,long,220,E47.10,Acceleration vs prior bucket,,0.0002,0.9999,0.4,6869,
W-STAT,long,221,K.06,Zone tag: above / upper-half / lower-half / below,,0.0001,1.0000,0.0,6865,
W-ALL,short,1,E31.01,Current level,tempo,0.0149,0.0149,-22.7,6797,
W-ALL,short,2,E48.06,Day-rank,,0.0146,0.0294,17.7,6866,
W-ALL,short,3,B-S.02,Selection wall-clock duration,tempo,0.0133,0.0428,16.9,6869,
W-ALL,short,4,E51.01,Volume per bin (vector feature),,0.0133,0.0560,7.3,2300,
W-ALL,short,5,E32.07,Percentile vs history,,0.0128,0.0688,-11.2,6645,
W-ALL,short,6,E31.02,Slope over trailing window (regime drift),tempo,0.0123,0.0811,7.5,6579,
W-ALL,short,7,E04.01,"Gap vs prior close: size, sign, gap-in-ticks",level,0.0119,0.0930,13.3,6869,E04.08
W-ALL,short,8,E04.09,Log return open->close,level,0.0119,0.1049,13.3,6869,
W-ALL,short,9,E09.01,POC round-number proximity,level,0.0113,0.1162,12.7,6869,
W-ALL,short,10,B-S.10,Sum ClS,,0.0113,0.1276,1.4,6869,
W-ALL,short,11,E49.05,Percentile of total fraction,,0.0113,0.1389,11.9,6645,
W-ALL,short,12,K.10,Rolling-POC baseline value (240-bucket window POC),level,0.0110,0.1499,11.8,6646,
W-ALL,short,13,E09.09,POC percentile within the day's range,level,0.0104,0.1603,5.0,6645,
W-ALL,short,14,E11.09,Day-rank of the bucket's volume,tempo,0.0103,0.1707,-13.6,6866,
W-ALL,short,15,B-S.13,Average VEL + Speed multiple,tempo,0.0099,0.1806,-13.8,6869,
W-ALL,short,16,K.02,KC upper band (mid + 2.0 x ATR-20),level,0.0098,0.1904,11.3,6865,
W-ALL,short,17,E11.05,Above/below-mean volume streak,tempo,0.0098,0.2002,-14.5,6855,
W-ALL,short,18,E51.07,z / percentile of large share,,0.0097,0.2099,-1.8,2270,
W-ALL,short,19,K.01,KC middle line value at entry (EMA-20 of close),level,0.0094,0.2193,11.0,6865,
W-ALL,short,20,E51.08,Large-share streak,,0.0093,0.2285,-7.4,2270,
W-ALL,short,21,E01.01,UTC hour-of-day (0-23),,0.0091,0.2377,-5.2,6869,
W-ALL,short,22,E02.01,UTC hour-of-day at close,,0.0091,0.2468,-5.2,6869,
W-ALL,short,23,K.11,Close vs POC baseline: side + distance,,0.0091,0.2559,-2.4,6646,
W-ALL,short,24,E47.06,Day-rank,,0.0091,0.2650,4.3,6866,
W-ALL,short,25,E55.09,Percentile-window fill health,,0.0090,0.2740,4.0,6644,
W-ALL,short,26,E29.01,Raw units/s / log pace,tempo,0.0089,0.2829,-13.9,6797,
W-ALL,short,27,G08.1,vel = volume/second and Speed multiple (canonical),tempo,0.0089,0.2918,-13.9,6797,
W-ALL,short,28,K.09,Squeeze flag: bandwidth in bottom percentile,,0.0089,0.3007,-10.2,6645,
W-ALL,short,29,E03.08,Duration acceleration: ratio vs prior bucket,,0.0088,0.3095,0.5,6869,
W-ALL,short,30,B-S.07,Sum OpL,,0.0088,0.3182,0.9,6869,
W-ALL,short,31,K.03,KC lower band (mid - 2.0 x ATR-20),level,0.0087,0.3270,10.3,6865,
W-ALL,short,32,K.04,Bandwidth: (upper - lower) / mid,,0.0087,0.3357,-11.7,6865,
W-ALL,short,33,E57.03,Depth percentile vs window,,0.0081,0.3438,7.9,6610,
W-ALL,short,34,C.05,Max drawup and drawdown within the 15,,0.0080,0.3519,-7.9,6869,
W-ALL,short,35,E11.01,Overshoot ratio: curr_vol / target_vol (last-print spillover),tempo,0.0079,0.3597,-2.2,6869,
W-ALL,short,36,E11.03,Log volume,tempo,0.0079,0.3676,-2.2,6869,
W-ALL,short,37,E54.05,Tier-dwell streak,,0.0078,0.3754,-2.9,6855,
W-ALL,short,38,E32.01,Current size,,0.0076,0.3829,-2.2,6869,
W-ALL,short,39,B-S.03,Total volume,,0.0075,0.3904,-3.5,6869,
W-ALL,short,40,E03.01,Raw seconds / log-duration,,0.0074,0.3978,11.9,6869,G01.1
W-ALL,short,41,E50.09,Large-count streak,,0.0074,0.4052,-5.2,2270,
W-ALL,short,42,E20.01,churn / vol fraction,,0.0073,0.4125,-4.4,6869,
W-ALL,short,43,E03.07,Fast/slow STREAK length (consecutive buckets same class),,0.0073,0.4198,-2.8,6855,
W-ALL,short,44,E47.02,z / percentile vs window,,0.0073,0.4270,-0.5,6855,
W-ALL,short,45,C.08,Dominant 12-state verdict over the 15,,0.0072,0.4342,18.1,6869,
W-ALL,short,46,B-P1.06,Absolute bear V*s over the selection,,0.0071,0.4413,-9.0,6869,
W-ALL,short,47,E48.02,z / percentile,,0.0071,0.4484,9.2,6855,
W-ALL,short,48,E48.05,Liq-long streak,,0.0069,0.4553,8.5,6855,
W-ALL,short,49,E11.02,Volume percentile / z vs trailing window,tempo,0.0069,0.4622,-8.6,6855,
W-ALL,short,50,E50.01,Counts per bin (vector feature),,0.0068,0.4690,2.3,2300,
W-ALL,short,51,B-S.09,Sum ClL,,0.0060,0.4750,4.7,6869,
W-ALL,short,52,B-P4.09,Peak gated score + its bucket position,,0.0059,0.4809,3.8,6869,
W-ALL,short,53,E52.01,large-order net side (APPROX fixed-273c),,0.0058,0.4867,5.5,2300,
W-ALL,short,54,E50.08,Large-count percentile vs window,,0.0057,0.4923,-5.1,2299,
W-ALL,short,55,E29.05,Pace acceleration,tempo,0.0056,0.4979,-0.9,6683,
W-ALL,short,56,E19.02,z / percentile,,0.0055,0.5035,-1.9,6855,
W-ALL,short,57,C.06,Realized volatility of the 15,,0.0055,0.5090,-10.0,6869,
W-ALL,short,58,B-S.08,Sum OpS,,0.0054,0.5144,-2.8,6869,
W-ALL,short,59,E12.06,Day-rank of buy volume,,0.0054,0.5198,-6.5,6866,
W-ALL,short,60,B-P4.04,Opposite side's percentage,,0.0054,0.5251,6.8,6869,
W-ALL,short,61,B-P3.06,Aggregate seller multiple vs baseline,,0.0053,0.5304,3.5,6869,B-S.12
W-ALL,short,62,E20.07,Day-rank of churn,,0.0051,0.5355,-9.4,6866,
W-ALL,short,63,E12.01,Buy share: buy_vol / curr_vol,,0.0051,0.5405,-5.2,6869,
W-ALL,short,64,E12.08,Log buy volume,,0.0051,0.5456,-5.2,6869,
W-ALL,short,65,E47.05,Liq-short streak,,0.0051,0.5507,-7.9,6855,
W-ALL,short,66,B-P3.07,Hot-bucket count (>=1.5x) in selection,,0.0050,0.5557,0.0,6869,
W-ALL,short,67,E38.03,Day-rank,,0.0050,0.5607,-2.3,6866,
W-ALL,short,68,E54.03,z / percentile vs trailing 240,,0.0050,0.5657,3.8,6855,
W-ALL,short,69,E05.01,Absolute range / range in ticks,,0.0050,0.5707,-6.9,6869,
W-ALL,short,70,E42.01,Traded-level count,,0.0049,0.5756,-6.6,6869,E45.01
W-ALL,short,71,E45.02,Dispersion percentile vs window,,0.0049,0.5805,-4.2,6645,
W-ALL,short,72,E54.01,Current value,,0.0048,0.5853,-7.4,6869,
W-ALL,short,73,B-P4.01,Current exhaustion value (badge),,0.0047,0.5900,7.4,6869,B-P4.03
W-ALL,short,74,E05.02,Range percentile vs trailing 30/240,,0.0047,0.5947,-5.4,6645,
W-ALL,short,75,B-P2.08,Trajectory slope across the selection,,0.0046,0.5992,-1.6,6869,
W-ALL,short,76,E25.01,Raw dispersion (ticks),,0.0045,0.6037,-6.9,6869,
W-ALL,short,77,B-P2.07,Sum: eff-agg share of selection volume,,0.0045,0.6082,-2.0,6869,
W-ALL,short,78,E17.08,opS acceleration,,0.0045,0.6127,-0.9,6869,
W-ALL,short,79,B-P2.02,Bear eff-agg percentage (badge),,0.0044,0.6171,6.7,6869,
W-ALL,short,80,B-P1.03,Spread: bull% - bear%,,0.0043,0.6214,-1.8,6869,
W-ALL,short,81,B-P2.01,Bull eff-agg percentage (badge),,0.0043,0.6257,-6.6,6869,
W-ALL,short,82,B-P4.02,LAST EXHAUSTED SIDE (bull / bear),,0.0043,0.6301,4.2,6869,
W-ALL,short,83,B-P4.05,Spread between the two sides,,0.0043,0.6344,7.2,6869,
W-ALL,short,84,K.08,Channel slope (mid-line drift over N buckets),,0.0043,0.6387,-5.0,6865,
W-ALL,short,85,C.03,Linear-fit slope + R-squared (trendiness),,0.0042,0.6429,-2.0,6869,
W-ALL,short,86,E08.01,Upper wick size / lower wick size (ticks),,0.0041,0.6471,-6.8,6834,
W-ALL,short,87,E20.04,High-churn streak,,0.0041,0.6511,-5.1,6855,
W-ALL,short,88,B-S.06,Net dOI,,0.0040,0.6551,-4.2,6869,
W-ALL,short,89,E08.08,Wick percentile vs trailing window,,0.0039,0.6590,-2.5,6610,
W-ALL,short,90,E19.07,clS acceleration,,0.0039,0.6628,-1.4,6869,
W-ALL,short,91,E29.02,Percentile / z vs trailing window,tempo,0.0038,0.6666,-1.5,5454,
W-ALL,short,92,E18.04,clL streak (sustained unwind),,0.0037,0.6703,4.3,6855,
W-ALL,short,93,E18.02,z / percentile,,0.0037,0.6740,-0.5,6855,
W-ALL,short,94,B-P1.10,Validated-dot (s>=0.60) count in selection,,0.0037,0.6777,3.7,6869,
W-ALL,short,95,E24.02,z vs trailing-30,,0.0036,0.6813,2.2,6855,
W-ALL,short,96,E19.01,clS / vol fraction,,0.0036,0.6850,2.1,6869,
W-ALL,short,97,E16.08,opL acceleration vs prior bucket,,0.0036,0.6886,-0.8,6869,
W-ALL,short,98,B-P2.05,Absolute bull V*(1-s) over the selection,,0.0036,0.6922,-5.0,6869,
W-ALL,short,99,E45.06,Fat/thin streak,,0.0036,0.6958,-3.0,6855,
W-ALL,short,100,E28.01,Raw multiple,,0.0036,0.6994,3.2,6869,
W-ALL,short,101,E43.01,POC share of curr_vol,,0.0036,0.7030,4.0,6869,
W-ALL,short,102,E06.01,Sign (direction) and magnitude,,0.0035,0.7065,6.2,6869,E06.10
W-ALL,short,103,E06.02,Log return of the body,,0.0035,0.7100,-4.0,6869,
W-ALL,short,104,E32.03,Slope of target over the day,,0.0035,0.7135,-0.8,6869,
W-ALL,short,105,C.10,Cumulative dOI over the 15,,0.0034,0.7169,-3.7,6869,
W-ALL,short,106,E12.03,Buy-dominance streak (share > 0.5),,0.0034,0.7203,-5.3,6855,
W-ALL,short,107,E31.04,Percentile vs the day,tempo,0.0034,0.7237,-5.4,6573,
W-ALL,short,108,K.05,"Entry close position inside the channel, 0..1",,0.0034,0.7270,-4.6,6865,
W-ALL,short,109,E14.09,Day-rank of abs(delta),,0.0033,0.7303,-4.8,6866,
W-ALL,short,110,B-P4.10,Crossover-diamond count in the selection,,0.0033,0.7336,11.1,6869,
W-ALL,short,111,E33.06,Slope over the selection window,,0.0032,0.7368,1.4,6869,
W-ALL,short,112,E03.03,Duration z-score vs trailing window,,0.0032,0.7400,-3.9,6855,
W-ALL,short,113,E18.01,clL / vol fraction,,0.0031,0.7431,3.0,6869,
W-ALL,short,114,B-P1.02,Bear absorption percentage (badge),,0.0031,0.7462,-3.8,6869,
W-ALL,short,115,E25.06,Narrow/wide streak,,0.0031,0.7493,-0.6,6855,
W-ALL,short,116,E20.03,z / percentile,,0.0031,0.7524,-0.6,6855,
W-ALL,short,117,B-P1.01,Bull absorption percentage (badge),,0.0031,0.7555,3.7,6869,
W-ALL,short,118,B-P3.02,Seller-side percentage (badge),,0.0030,0.7585,2.4,6869,
W-ALL,short,119,E43.10,Day-rank of POC share,,0.0030,0.7615,5.5,6866,
W-ALL,short,120,B-P3.01,Buyer-side percentage (badge),,0.0030,0.7645,-2.4,6869,
