# NOTE: flag=empty is necessary but not sufficient — apply the clock/volume/price test when reading. The excess_diff subtraction AMPLIFIES drift-trackers (regime/time/tempo/level), it does not clean them.
rank,feature_code,plain_name,flag,best_bin,n,TP_L,TP_S,whip_pct,raw_diff,excess_diff,shared,ci_lo,ci_hi,eff_blocks
237,E14.06,Delta acceleration (this vs prior magnitude),,Q2,2325,38.9,37.5,23.6,1.4,-1.38,0.29,,,32
238,E19.04,clS streak,,Q1,3459,39.5,35.4,25.2,4.1,1.34,-1.28,,,32
239,E13.02,Sell z-score / percentile,,Q4,2508,39.2,37.8,23.0,1.4,-1.33,0.93,,,32
240,E07.04,Percentile / z vs trailing window,,Q3,2177,39.0,37.6,23.4,1.5,-1.29,0.52,,,32
241,K.07,Distance to nearest band (ticks and ATRs),,Q2,2473,40.2,36.2,23.5,4.0,1.24,0.36,,,32
242,E21.04,BUILD streak / DRAIN streak lengths,,Q3,1105,38.7,37.2,24.1,1.5,-1.22,-0.17,,,32
243,B-P2.03,Spread: bull% - bear%,,Q2,2534,39.2,37.7,23.1,1.5,-1.22,0.81,,,32
244,B-P2.09,Peak eff-agg bucket position,,Q1,2577,40.0,36.1,23.9,3.9,1.16,-0.01,,,32
245,C.04,Path class: trend / range / V-shape,,trend,4843,38.5,36.9,24.6,1.7,-1.09,-0.71,,,32
246,E07.01,Raw fraction 0..1,,Q1,2526,39.8,35.9,24.3,3.8,1.08,-0.37,,,32
247,G02.1,"Range, body, wicks, close-position -- the full geometry family",,Q1,2526,39.8,35.9,24.3,3.8,1.08,-0.37,,,32
248,E23.06,Hot streak length,,Q2,2058,39.5,37.7,22.8,1.7,-1.01,1.06,,,32
249,E38.07,Acceleration,,Q2,2442,39.4,37.6,22.9,1.8,-0.96,0.97,,,32
250,E24.08,Effort acceleration,,Q2,2367,38.2,36.4,25.4,1.8,-0.94,-1.54,,,32
251,E21.03,z / percentile,,Q4,2463,39.2,37.4,23.5,1.8,-0.93,0.43,,,32
252,B-P3.03,Spread: buyer% - seller%,,Q1,2375,40.1,36.6,23.3,3.5,0.73,0.57,,,32
253,E21.08,dOI acceleration,,Q1,2601,39.6,37.6,22.8,2.0,-0.72,1.06,,,32
254,E17.01,opS / vol fraction,,Q2,2420,39.6,37.3,23.1,2.3,-0.49,0.8,,,32
255,G04.1,Price moved per net contract (efficiency of aggression),,Q3,2513,39.3,37.0,23.8,2.3,-0.45,0.14,,,32
